Id2,Ed_LtHS
17031010100,0.043743642
17031010201,0.198553583
17031010202,0.176305446
17031010300,0.228481013
17031010400,0.032085561
17031010501,0.075025694
17031010502,0.205332086
17031010503,0.246217331
17031010600,0.122355869
17031010701,0.19137867
17031010702,0.233506944
17031020100,0.157213552
17031020200,0.124099856
17031020301,0.092507205
17031020302,0.148547469
17031020400,0.097007224
17031020500,0.262152778
17031020601,0.226537998
17031020602,0.158499234
17031020701,0.107276819
17031020702,0.268428373
17031020801,0.169216922
17031020802,0.181870559
17031020901,0.177028796
17031020902,0.08718802
17031030101,0.105015674
17031030102,0.070438799
17031030103,0.141570142
17031030104,0.091531756
17031030200,0.036481242
17031030300,0.172718808
17031030400,0.136603376
17031030500,0.14456836
17031030601,0.100498931
17031030603,0.047272727
17031030604,0.051973427
17031030701,0.071218796
17031030702,0.024042074
17031030703,0.075949367
17031030706,0.077123332
17031030800,0.083712984
17031030900,0.088712722
17031031000,0.063016529
17031031100,0.056503497
17031031200,0.213291305
17031031300,0.129347652
17031031400,0.048917749
17031031501,0.147110954
17031031502,0.100850547
17031031700,0.09703916
17031031800,0.109834889
17031031900,0.076723691
17031032100,0.093967299
17031040100,0.133807588
17031040201,0.130471558
17031040202,0.20507735
17031040300,0.093822573
17031040401,0.108605614
17031040402,0.046990496
17031040600,0.063067608
17031040700,0.058212829
17031040800,0.090909091
17031040900,0.066776136
17031050100,0.051874679
17031050200,0.102204929
17031050300,0.054887611
17031050500,0.057552149
17031050600,0.060445387
17031050700,0.053191489
17031050800,0.062558357
17031050900,0.024807528
17031051000,0.0568
17031051100,0.030088496
17031051200,0.07310705
17031051300,0.003946719
17031051400,0.100319489
17031060100,0.003414912
17031060200,0.033969011
17031060300,0.018298262
17031060400,0.005804954
17031060500,0.181818182
17031060800,0.010014656
17031060900,0.047035854
17031061000,0.016233766
17031061100,0.010204082
17031061200,0.012116892
17031061500,0.063244048
17031061800,0.05655527
17031061901,0.022757697
17031061902,0.009030704
17031062000,0.01042119
17031062100,0.01752381
17031062200,0.014022787
17031062300,0.009607686
17031062400,0.0275
17031062500,0
17031062600,0.049840256
17031062700,0.048004315
17031062800,0.017450683
17031062900,0.013834693
17031063000,0.015195072
17031063100,0.002239642
17031063200,0.023767433
17031063301,0.017495396
17031063302,0.008002462
17031063303,0.075829384
17031063400,0.01456028
17031070101,0.015735389
17031070102,0.022671267
17031070103,0
17031070200,0.017415535
17031070300,0
17031070400,0.127052723
17031070500,0.07430194
17031070600,0.011466794
17031070700,0.057043073
17031071000,0.008849558
17031071100,0.001196888
17031071200,0.041933191
17031071300,0.007268554
17031071400,0.045352113
17031071500,0.009791667
17031071600,0.030792918
17031071700,0.000761615
17031071800,0.031283139
17031080100,0.009931507
17031080201,0.032659933
17031080202,0.009897724
17031080300,0.012458472
17031080400,0.089857945
17031081000,0.074522761
17031081100,0.038852914
17031081201,0.006602641
17031081202,0.006395786
17031081300,0
17031081401,0.015952144
17031081402,0.024993688
17031081403,0
17031081500,0
17031081600,0
17031081700,0.022773623
17031081800,0
17031081900,0.091675448
17031090100,0.150881509
17031090200,0.046955095
17031090300,0.048755187
17031100100,0.122977346
17031100200,0.060702242
