Id2,Non_NonHWhite
17031010100,0.581284316
17031010201,0.755188479
17031010202,0.70263789
17031010300,0.560598745
17031010400,0.342071882
17031010501,0.437222657
17031010502,0.480216802
17031010503,0.437163375
17031010600,0.594349762
17031010701,0.656107451
17031010702,0.792756921
17031020100,0.646616541
17031020200,0.342605915
17031020301,0.233441496
17031020302,0.480326811
17031020400,0.560782487
17031020500,0.750999334
17031020601,0.453934598
17031020602,0.673330083
17031020701,0.453248811
17031020702,0.518707483
17031020801,0.572916667
17031020802,0.741374969
17031020901,0.722521444
17031020902,0.490584029
17031030101,0.526428763
17031030102,0.48579161
17031030103,0.487935657
17031030104,0.520607375
17031030200,0.292756921
17031030300,0.631026566
17031030400,0.528140142
17031030500,0.429893125
17031030601,0.485585076
17031030603,0.62890625
17031030604,0.492063492
17031030701,0.504036909
17031030702,0.238356164
17031030703,0.355564172
17031030706,0.451156069
17031030800,0.368898978
17031030900,0.420018709
17031031000,0.350653038
17031031100,0.324468085
17031031200,0.552880658
17031031300,0.59737505
17031031400,0.332319392
17031031501,0.610495627
17031031502,0.720702234
17031031700,0.473409962
17031031800,0.326732673
17031031900,0.255626327
17031032100,0.315353923
17031040100,0.330165083
17031040201,0.313317191
17031040202,0.501270363
17031040300,0.402861446
17031040401,0.3522567
17031040402,0.361625186
17031040600,0.206408346
17031040700,0.361169102
17031040800,0.266115702
17031040900,0.15108593
17031050100,0.2319202
17031050200,0.295898438
17031050300,0.303585347
17031050500,0.195340168
17031050600,0.184341342
17031050700,0.093553908
17031050800,0.117729502
17031050900,0.154216867
17031051000,0.270186335
17031051100,0.233944954
17031051200,0.217669654
17031051300,0.182864883
17031051400,0.259889604
17031060100,0.181047766
17031060200,0.251175917
17031060300,0.096347607
17031060400,0.164876343
17031060500,0.318218623
17031060800,0.226033058
17031060900,0.294465818
17031061000,0.307109557
17031061100,0.106951872
17031061200,0.167785235
17031061500,0.129639591
17031061800,0.248672566
17031061901,0.260766182
17031061902,0.205933251
17031062000,0.189851571
17031062100,0.153321471
17031062200,0.158018078
17031062300,0.121212121
17031062400,0.11405672
17031062500,0.12071535
17031062600,0.251205612
17031062700,0.124410591
17031062800,0.185390295
17031062900,0.120689655
17031063000,0.219639935
17031063100,0.208003335
17031063200,0.213221884
17031063301,0.287128713
17031063302,0.197802198
17031063303,0.104580812
17031063400,0.18721038
17031070101,0.11559679
17031070102,0.291792169
17031070103,0.169148303
17031070200,0.208026416
17031070300,0.198935856
17031070400,0.15494186
17031070500,0.140304434
17031070600,0.153746351
17031070700,0.276926939
17031071000,0.239420154
17031071100,0.13574352
17031071200,0.26984127
17031071300,0.14645577
17031071400,0.18453064
17031071500,0.183712785
17031071600,0.162682216
17031071700,0.292884721
17031071800,0.214981273
17031080100,0.129788193
17031080201,0.088408037
17031080202,0.144919332
17031080300,0.220089286
17031080400,0.636030161
17031081000,0.290022889
17031081100,0.244462674
17031081201,0.254173989
17031081202,0.144365104
17031081300,0.247575698
17031081401,0.333068362
17031081402,0.287992709
17031081403,0.351513421
17031081500,0.276590909
17031081600,0.270695625
17031081700,0.385361797
17031081800,0.18883547
17031081900,0.609375
17031090100,0.129981606
17031090200,0.122697471
17031090300,0.061886792
17031100100,0.209671726
17031100200,0.174110522
17031100300,0.199369713
17031100400,0.168814007
17031100500,0.099301784
17031100600,0.243814237
17031100700,0.217940619
17031110100,0.307783218
17031110200,0.34007292
17031110300,0.328566052
17031110400,0.273935571
17031110501,0.301553063
17031110502,0.385079539
17031120100,0.112196344
17031120200,0.246704745
17031120300,0.314614015
17031120400,0.449653703
17031130100,0.378829003
17031130200,0.339173967
17031130300,0.57661597
17031140100,0.759009561
17031140200,0.725360475
17031140301,0.886826783
17031140302,0.743962433
17031140400,0.574172001
17031140500,0.667071099
17031140601,0.859885483
17031140602,0.817064482
17031140701,0.651572327
17031140702,0.789987204
17031140800,0.536135386
17031150200,0.382687636
17031150300,0.393568961
17031150401,0.320291363
17031150402,0.49661705
17031150501,0.340635854
17031150502,0.489277389
17031150600,0.462254395
17031150700,0.477385847
17031150800,0.638965327
17031151001,0.720252167
17031151002,0.734471718
17031151100,0.572806529
17031151200,0.419565217
17031160100,0.485529322
17031160200,0.465201465
17031160300,0.514831055
17031160400,0.534381139
17031160501,0.830591374
17031160502,0.750875657
17031160601,0.638909727
17031160602,0.614863168
17031160700,0.594540613
17031160800,0.694691908
17031160900,0.392165493
17031161000,0.367902665
17031161100,0.32230997
17031161200,0.694444444
17031161300,0.688562009
17031170100,0.208979156
17031170200,0.429225836
17031170300,0.330622204
17031170400,0.253225806
17031170500,0.259001637
17031170600,0.302451334
17031170700,0.25891911
17031170800,0.2536
17031170900,0.290341238
17031171000,0.375518933
17031171100,0.442565187
17031180100,0.585332883
17031190100,0.854779412
17031190200,0.835616438
17031190300,0.682460973
17031190401,0.617499402
17031190402,0.761956053
17031190601,0.892819761
17031190602,0.872744539
17031190701,0.840494792
